sentence	label	category	augmented
Yes, it removes about 90% of the caffeine, but it leaves such a very smooth tasting tea behind.	1	Grocery_and_Gourmet_Food	False
I bought two packs of postcards- thinking 60 would be plenty, but I have to tell you everyone that has seen them has asked if I have more??	1	Books	False
This was a tangled complicated mess.	0	Tools_and_Home_Improvement	False
I love that this gives him something to look forward to each month.	1	Subscription_Boxes	False
No way this tiny pump could disappoint.	1	Patio_Lawn_and_Garden	False
This mint color is beautiful & just happens to match a cutting mat I picked up at Wally World recently.	1	Office_Products	False
Then I applied lipstick over it.	0	Health_and_Household	False
Used this in our annual golf cart xmas parade in my battery operated boom box - we have a red 57 chevy golf cart and I have to say that the music was SOOOOO perfect for us and our theme!	1	CDs_and_Vinyl	False
I'm disabled musician and suffer from dizziness and  vertigo I wanted a stool for playing guitar and piano but this throne feels wobbly and unstable	0	Musical_Instruments	False
I remember this album cover very well when it was first released as an LP record and a lot of copies must have sold.	0	CDs_and_Vinyl	False
I am definitely not buying online again.	0	Health_and_Household	False
It’s not any quicker than I used to make them, but it’s a lot less water.	1	Home_and_Kitchen	False
4 stars because it pulled my skin off on the sensitive crease on side of my nose.	1	All_Beauty	False
Awesome app works amazing<br />This is a must	1	Software	False
I actually had to fold them in half in order to tuck it into my masks' filter pockets.	0	Health_and_Personal_Care	False
Excellent, this is my second order and will definitely order again.	1	Health_and_Household	False
If anyone has any suggestions, please HELP!	0	Electronics	False
idk what to do to be honest  im assuming all trays will have the same issue due to those grips  companies should realize walkers come with grips and make the trays fit either or somehow	1	Health_and_Personal_Care	False
Sophia age 8 is living this tea as much as I am.	1	Grocery_and_Gourmet_Food	False
I drink a lot of tea.	1	Subscription_Boxes	False
Material seems sturdy and should be able to hold up to the weather, but I probably will take them in every night.	1	Patio_Lawn_and_Garden	False
I have found if I put a washcloth, or other mousepad over it if I am planning to be playing a while its better.	1	Video_Games	False
This product had no effect on my dog’s tear stains.	0	Pet_Supplies	False
I will never buy this again!	0	Toys_and_Games	False
Start n stop takes too much time.	0	Pet_Supplies	False
But if you love Pusheen and anything involving a cat, you'll find nirvana with this box.	1	Subscription_Boxes	False
I recently went on a cruise to the Caribbean where I was off the ship many times without access to power.	1	Cell_Phones_and_Accessories	False
This is perfect as my dog is a pup going through that first year of chewing.	1	Subscription_Boxes	False
Buy a used copy if you really want it!	0	Books	False
I have been using this 10-drawer storage bin for well over a year.	1	Baby_Products	False
The second batch did not look like the first batch and the color was off and different.	0	Grocery_and_Gourmet_Food	False
I am in love with it even though I hate the price point & truly believe it to be massively overpriced for plastic, but being s fountain pen junkie with well over a hundred including Montblanc I fully intend to buy bc thst is what we fountain pen ppl do.	1	Office_Products	False
More importantly, 'Lost' was / is a fine stand-alone album.	1	Digital_Music	False
Probably one of my favorite Uncle John's bathroom readers.	1	Books	False
I have replaced this item twice in the last 4 months and the light does not stay on even when it's fully charged.	0	Musical_Instruments	False
A shame because white light is beautiful.	0	Home_and_Kitchen	False
The main character is a self-absorbed 17 year old girl who views her parents through a lense of disdain which strips them of all redeeming traits or personality and depicts them through the main character's eyes as stupid and suffering from severe generational gaps.	0	Kindle_Store	False
Sorry, but didn't work for my feline.	0	Pet_Supplies	False
First, the obvious... the sizing is WAY off.	0	Amazon_Fashion	False
I gave adhesion 4 stars but that might have been the way I applied eyeliner??	1	Beauty_and_Personal_Care	False
Maybe the next will be better.	1	Kindle_Store	False
After a fair amount of time and improvements in service, I've returned for the streaming.	1	Software	False
They were great quality & super soft!	1	Clothing_Shoes_and_Jewelry	False
I wanted more television reviews and less what I thought was promoting movies that I am not interested in.	0	Magazine_Subscriptions	False
You'll have the opportunity to hop on the subway as well as conduct phone interviews in your quest for the truth behind the hauntings.<br /><br />The game designers did a good job on incorporating Japanese culture into the game.	1	Video_Games	False
This is a lovely ultralight, packable backpack - it's a good size for 1-2 L water (a 32 oz/1L Nalgene will fit in each outside pocket), a lunch, and a light jacket.	1	Sports_and_Outdoors	False
Hard to get used to and I've had reading glasses for 10 years.	0	Health_and_Household	False
One I gave someone for Christmas was reported to be o.k., but I received one that was defective (could not use).	0	Sports_and_Outdoors	False
it is unfair that I am out the money I paid for coins.	0	Unknown	False
It does cover up they cheap worn out rubber that didn't last very long on the official ps4 controllers.	0	Video_Games	False
I bought the Bosch because I though it was a good brand, but the fact is these wipers don't work all that much better than the old ones they replaced.	0	Automotive	False
It does not fasten itself to the bottom of the console at all!	0	Video_Games	False
My little one just likes doctors so I thought this book would be fun but it’s not what I expected.	0	Books	False
So, now I am stuck with a piece of junk that cannot be put together!	0	Patio_Lawn_and_Garden	False
That’s saying a lot for a 75 pound terrier who is nothing but muscle loves to play.	1	Pet_Supplies	False
The quality of this print is second to none.	1	Handmade_Products	False
Im not a buyer<br />But, It Doesn't seem worth the price to surprise myself with things I don't need or want.	0	Subscription_Boxes	False
The red smoker arrived and had a gap in the exact place.	0	Patio_Lawn_and_Garden	False
"The string ""chain"" is pretty nice for being string."	1	Handmade_Products	False
The adorable cats are LOST on the rough &amp; cheap grade fabric.	0	Amazon_Fashion	False
It was a huge plus that this was on sale.	1	Home_and_Kitchen	False
This is Hawaii, so more beach to explore would have been nice.	0	Video_Games	False
My friend's money could have been spent on about 4 other CD's for the price of this one.	0	CDs_and_Vinyl	False
It won't stay standing up, and cord detached somewhere inside the fan.	0	Automotive	False
All was good worked as expected	1	Cell_Phones_and_Accessories	False
It would make an ok gift for kids if you can find them on sale & know 1/4 are useless imo.	0	Arts_Crafts_and_Sewing	False
I can’t help but wonder what would have happened if the activator was not dried out.	0	Beauty_and_Personal_Care	False
It shows the flaws of each of the family members as they work through some of their issues with being home for the holidays.	1	Movies_and_TV	False
Such an unusual & exciting journey, it had me sitting on the edge of my seat.	1	Books	False
I put this in the dishwasher top racks and it has held up well.	1	Baby_Products	False
Well that was a waste of a few hours.	0	Kindle_Store	False
I lived in North and South Carolina, and I love how Fern helps lots of folks and animals out.	1	Kindle_Store	False
Much easier on the landfill than the plastic cups.	1	Appliances	False
I’ve bought some real duds on Amazon, but this was not one of them.	1	Home_and_Kitchen	False
Nice, but smaller than expected and both times they sent wrong color ordered gold and got white, ordered again and got blue labels	0	Handmade_Products	False
I started to tell her that it would be very expensive potpourri, but let’s face it folks there is even more expensive potpourri than what this costs me so yes- you can use it to make your house smell heavenly too!	1	Grocery_and_Gourmet_Food	False
Held backpack, water bottle, rain jacket, lunch bags, etc.	1	Baby_Products	False
I bought it online and now I am stuck.	0	Cell_Phones_and_Accessories	False
He was able to rig the broken leg for a couple months but it just broke again.	0	Home_and_Kitchen	False
Homegrown is the missing link connecting Harvest and Comes A Time?	0	CDs_and_Vinyl	False
This is a perfect gift for the child of anyone you don't like.	1	Toys_and_Games	False
Not as fresh as they could have been, but still good.	1	Video_Games	False
Several of the stories are taken from canon (Black Peter, Abbey Grange).<br /><br />As you play through the first case, on-screen guidance explains the gameplay basics.	1	Video_Games	False
I have also had the scrubber fall completely off and had to fish the sponge out of the toilet.	0	Health_and_Household	False
This allows him the convenience of using the Esperta with his own coffee.	1	Appliances	False
This isn't something you can just start doing to get a lot of ice right away.	1	Appliances	False
I tried to remold it & that didn’t work.	1	Arts_Crafts_and_Sewing	False
You have to be really careful to check and double check your individual hearing aid to sure you have the right charger.	0	Cell_Phones_and_Accessories	False
Bright red lip tint stays on lips all day.	1	Beauty_and_Personal_Care	False
Keeps her busy for a few hours.	1	Subscription_Boxes	False
You can search for movies/shows, watch live TV, DVR anything you want with no storage limit..	0	Software	False
I really like the whole cast.	1	Movies_and_TV	False
"I just saw ""Star Wars: L'attaque des clones"" last night (in Ste-Foy, Québec) at a sold-out show (it was playing in English at the theatre next door but I opted for the French version instead)."	1	Digital_Music	False
I don't recommend this product for bigger persons as it is described..	0	Baby_Products	False
When we've got it going, I'll update this review.	0	Tools_and_Home_Improvement	False
"""Joy of Kosher"" magazine fills a much-needed niche for kosher recipes, cookbook reviews, and the kosher lifestyle not found in other mainstream magazines."	1	Magazine_Subscriptions	False
Overall, my husband is pleased with them.	1	Musical_Instruments	False
Very sturdy, and litter sifts through so easily!	1	Pet_Supplies	False
I can get a better quality pack of 5 or 10 for the same price...	0	Subscription_Boxes	False
Pop into a small holiday bag, or even just wrap with a ribbon.	1	Handmade_Products	False
I was so excited when I saw these.	0	Pet_Supplies	False
I also did not notice any anti-glare feature.	0	Amazon_Fashion	False
Has weird words and sayings on the back.	0	Home_and_Kitchen	False
I live in Seattle, took a risk couldn’t test drive.	1	Unknown	False
If you pine for late 70s music this is the one for you.	0	CDs_and_Vinyl	False
It leaves a huge gap above the crown so you have to use spacers.	0	Automotive	False
Beats, plastic containers and zip lock bags.	1	Unknown	False
